MATRICULE;DEPARTEMENT;FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE;FORMAT FRANCE SERVICES
166;28;La Loupe ;18 Rue de la Gare;;28214;28240;LA LOUPE;48.47335;1.011705;msaplaloupe@terresdeperche.fr;02 37 81 38 93;Collectivité;"Communauté de Communes Terres de Perche ";8:00 - 12:15 / Sur RDV ou autonomie postes informatiques : 13:30 - 16:00;8:00 - 12:15;8:00 - 12:15;8:00 - 12:15 / Sur RDV ou autonomie postes informatiques : 13:30 - 16:00;8:00 - 10:00;-;;Espace labellisé
167;28;Senonches;2 Rue de Verdun;;28373;28250;SENONCHES;48.56066;1.033;msap@foretsduperche.fr;02 37 37 37 30;Collectivité;"Communauté de Communes Forêts du Perche ";9:00 - 13:00 / Sur RDV : 14:00 - 18:00;9:00 - 13:00 / Sur RDV : 14:00 - 18:00;9:00 - 13:00 / Sur RDV : 14:00 - 18:00;9:00 - 13:00 / Sur RDV : 14:00 - 18:00;9:00 - 12:00 / Sur RDV : 14:00 - 17:00;-;;Espace labellisé
168;28;Authon-du-Perche;1 Place de la Mairie;Bâtiment de la Mairie;28018;28330;AUTHON DU PERCHE;48.19522;0.896835;msap.authon28@orange.fr;02 37 49 59 67;Collectivité;Mairie d’Authon-du-Perche;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
169;29;La Poste Ouessant;Bas du Bourg;;29155;29242;ILE D OUESSANT;48.45944;-5.957;;;La Poste;La Poste;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;;Espace labellisé
170;29;PIMMS Quimper Cornouaille;2 Rue de l'Ile de Man;;29232;29000;QUIMPER;47.98812;-4.12868;pimms.quimper@orange.fr;02 98 52 77 50;PIMMS;Union Nationale des PIMMS;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;-;;Espace labellisé
172;29;Châteaulin;33 Quai Robert Alba;;29026;29150;CHATEAULIN;48.19888;-4.87453;franceservices@ccpcp.bzh;02 98 16 14 20;Collectivité;Communauté de communes de Pleyben Châteaulin Porzay;8:45 - 12:00 / 13:30 - 17:30;8:45 - 12:00 / 13:30 - 17:30;8:45 - 12:00 / 13:30 - 17:30;8:45 - 12:00 / 13:30 - 17:00;8:45 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
173;29;PIMMS de Brest Pontanézen;31 Rue Saint-jacques;;29019;29200;BREST;48.49929;-4.47132;brest.pontanezen@pimms.org;02 98 41 00 66;PIMMS;Union Nationale des PIMMS;13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 11:45;;Espace labellisé
174;30;Roquemaure;Place Chateauneuf;;30221;30150;ROQUEMAURE;44.05194;4.779906;france.services@mairie-roquemaure.fr;04 66 90 27 28;Collectivité;Mairie de Roquemaure;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;8:00 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
175;30;Relais emploi intercommunal du Pont du Gard - Remoulins;4 Rue Saint André;;30212;30210;REMOULINS;;;relais.emploi@cc-pontdugard.fr;04 66 37 27 13;Collectivité;;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
176;30;Centre communal d’Action Sociale;24 Rue Nicolas Lasserre;;30003;30220;AIGUES MORTES;43.57045;4.19872;msap30220@ville-aigues-mortes.fr;04 66 53 62 00;Collectivité;;13:30 - 17:30;8:00 - 12:00 / 13:30 - 17:30;8:00 - 12:00;13:30 - 17:00;8:00 - 12:00;-;;Espace labellisé
177;30;CALADE Calvisson;6 bis Avenue du 11 Novembre;;30062;30420;CALVISSON;43.7818;4.193019;centresocial.calvisson@calade.org;04 66 22 16 35;;;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
178;30;CALADE Sommières;1 Rue Poterie ;;30321;30250;SOMMIERES;43.7857;4.87667;centresocial.sommieres@calade.org;04 66 93 20 20;;;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
179;30;Cèze Cévennes - St Ambroix;4 rue de la république;;30227;30500;ST AMBROIX;;;relaisemploi@ceze-cevennes.fr;04 66 56 28 70;;;9:00 - 12:00;9:00 - 12:00;-;9:00 - 12:00;-;-;Oui;Espace labellisé
180;30;PIMMS de Nimes;601 rue Néper;Espace Diderot;30189;30900;NIMES;;;nimes@pimms.org;04 66 62 02 57;PIMMS;Union Nationale des PIMMS;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 16:30;-;;Espace labellisé
181;31;Auterive - CC Bassin Auterivain;Rd 820 ZI Robert Lavigne;;31033;31190;AUTERIVE;43.36867;1.445539;franceservices@ccba31.fr;05 61 50 99 41;Collectivité;Communauté de communes;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
182;31;Val Aïgo - Villemur-sur-Tarn;2 avenue Saint Exupéry;;31584;31340;VILLEMUR SUR TARN;43.8682;1.500555;contact@valaigo.fr;05 61 09 91 38;Collectivité;Communauté de communes Val'Aïgo;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / Sur RDV : après-midi;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
183;31;Rieumes - CC Cœur de Garonne;2 Place du marché à la volaille;;31454;31370;RIEUMES;43.41314;1.119217;franceservices@cc-coeurdegaronne.fr;09 67 51 89 96;Collectivité;Communauté de Communes Cœur de Garonne;8:30 - 12:30 / 14:00 - 18:00;14:00 - 18:00;8:30 - 12:30;8:30 - 12:30;8:30 - 12:30;-;;Espace labellisé
184;31;Nailloux - CC Terres du Lauragais;1 rue de la république;;31396;31560;NAILLOUX;43.35671;1.623405;"msap.tdlsud@terres-du-lauragais;fr";;Collectivité;Communauté de communes;13:30 - 17:00;13:30 - 17:00;9:15 - 12:30 / 13:30 - 17:00;13:30 - 17:00;9:15 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
186;32;Val de Gers;16 Avenue Elysée Duffréchou;Ancien couvent;32242;32140;MASSEUBE;43.42778;0.578462;;;Collectivité;Communauté de Communes Val de Gers;-;10:00 - 13:00;10:00 - 13:00 / 14:00 - 18:00;10:00 - 13:00;10:00 - 13:00 / 14:00 - 18:00;9:00 - 13:00;;Espace labellisé
187;32;Plaisance du Gers;38 rue de l’Adour;;32319;32160;PLAISANCE DU GERS;43.60542;0.045201;;;La Poste;La Poste;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 ;;Espace labellisé
188;32;Artagnan en Fezensac;18 Rue des Cordeliers;;32462;32190;VIC FEZENSAC;43.75719;0.301926;ccommunes.dartagnan.fezensac@wanadoo.fr;;Collectivité;Communauté de Communes Artagnan en Fezensac;9:30 - 16:30;9:30 - 16:30;9:30 - 16:30;9:30 - 16:30;9:30 - 16:30;-;;Espace labellisé
191;32;Fleurance;62 Rue Adolphe Cadéot;;32132;32500;FLEURANCE;43.85028;0.661762;ccas.accueil@villefleurance.fr;;Collectivité;"Commune de Fleurance Gestion : CCAS de Fleurance";8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
192;32;Lectoure;2 Cours Gambetta;;32208;32700;LECTOURE;43.93352;0.626401;ccas.accueil@mairie-lectoure.fr;05 62 68 75 47;Collectivité;"Commune de Lectoure Gestion : CCAS de Lectoure";8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;-;;Espace labellisé
193;33;Sainte Foy la Grande;12 boulevard Charles Garrau;;33402;33220;STE FOY LA GRANDE;44.83904;0.219476;msap-stefoy@paysfoyen.fr;05 55 74 86 90;Collectivité;;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
194;33;Blaye;32 rue des Maçons - BP 154;;33058;33390;BLAYE;45.13221;-0.65703;accueil.france-services@ccb-blaye.com;05 57 42 82 72;Collectivité;Coportage Communauté de Communes de Blaye (CCB) et Mutualité Sociale Agricole de Gironde (MSA);8:30 - 17:00;8:30 - 17:00;8:30 - 17:00;8:30 - 17:00;8:30 - 17:00;-;;Espace labellisé
195;33;Rauzan;11 grand rue;;33350;33420;RAUZAN;44.77967;-0.12491;;;La Poste;La Poste;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
196;33;Cussac Fort Médoc;34, avenue du haut médoc;;33146;33460;CUSSAC FORT MEDOC;45.1145;-0.7388;msap-cussacfortmedoc@orange.fr;05 57 88 85 00;;;14:00 - 18:00;8:30 - 12:00 / 16:00 - 18:00;8:30 - 12:00 / 16:00 - 18:00;8:30 - 12:00 / 16:00 - 18:00;8:30 - 12:00 / 13:30 - 17:00;9:00 - 12:00;;Espace labellisé
197;33;Ste Eulalie;1 pl Charles de Gaulle;;33397;33560;STE EULALIE;44.98396;-0.47334;accueil@mairie-ste-eulalie.fr;05 56 06 05 59;;;9:00 - 12:00 / 14:00 - 19:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
198;33;Pessac;1 rue de l'Horloge;;33318;33600;PESSAC;;;plateforme@mairie-pessac.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
199;33;Lacanau;3 Rue de l'Aiguillonne;;33214;33680;LACANAU;44.97879;-1.07362;pole.aiguillonne@lacanau.fr;05 57 17 92 70;;;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
200;33;Captieux;Place du 8 mai 1945;;33095;33840;CAPTIEUX;44.29176;-0.26117;efs@captieux.fr;05 56 65 60 31;;;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / Sur RDV : 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
201;34;Itinérante MSA du Languedoc;581 avenue Georges Méliès;;34172;34000;MONTPELLIER;43.60586;3.920475;mfs@languedoc.msa.fr;06 37 09 39 82;Opérateur;MSA et Communautés de Communes de « Minervois Caroux » et « Grand Orb »;9:45 - 12:15 / 13:30 - 16:00;9:45 - 12:15 / 13:30 - 16:00;9:45 - 12:15 / 13:30 - 16:00;9:45 - 12:15 / 13:30 - 16:00;9:45 - 12:15 / 13:30 - 16:00;-;Oui;Espace labellisé
203;34;Hérault Méditerranée;Avenue des sergents;;34003;34300;AGDE;43.28883;3.514681;msap@agglohm.net;04 67 01 24 22;Collectivité ;Agglomération Hérault Méditerranée;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;Oui;Espace labellisé
205;34;Capestang;6 place Ferrer;;34052;34310;CAPESTANG;43.32748;3.04669;msap@cc-sud-herault.fr;04 67 26 37 10;Collectivité ;CC sud Hérault;8:30 - 12:00 / 13:00 - 17:30;8:30 - 12:00 / 13:30 - 17:30;13:30 - 17:30;8:30 - 12:00 / 13:00 - 17:30;8:30 - 12:00 / 13:00 - 17:30;-;Oui;Espace labellisé
207;34;Sérignan ;146 avenue de la plage;Pôle social;34299;34410;SERIGNAN;43.28024;3.280593;ccas@ville-serignan.fr;04 67 32 62 10;Collectivité;Mairie de Sérignan;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
208;34;Les Avant-Monts;27 bis avenue de la république;;34178;34490;MURVIEL LES BEZIERS;43.43364;3.148763;msap@avant-monts.fr;04 67 00 83 60;Collectivité;CC les avants monts;9:00 - 16:30;9:00 - 11:30 / 14:30 - 16:30;9:00 - 11:30 / 14:30 - 16:30;9:00 - 11:30 / 14:30 - 18:30;9:00 - 11:30;-;;Espace labellisé
211;34;Lodevois et Larzac;1 Place Capitaine Francis Morand;;34142;34700;LODEVE;43.73204;3.316843;amsap@lodevoisetlarzac.fr;04 67 88 90 90;Collectivité;CC du lodévois et larzac;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
212;35;PIMMS Rennes;2 rue du Sous-Lieutenant Yves-Berger;;35238;35000;RENNES;48.88114;-1.67382;rennes@pimms.org;02 99 32 02 58;PIMMS;Union Nationale des PIMMS;9:00 - 12:30 / 14:00 - 17:15;14:00 - 17:15;9:00 - 12:30 / 14:00 - 17:15;14:00 - 17:15;9:00 - 12:30 / 14:00 - 17:15;-;;Espace labellisé
213;35;Communauté de communes Bretagne Romantique;3 rue de la mairie;;35085;35270;COMBOURG;48.49673;-1.75249;maison-des-services@bretagneromantique.fr;;Collectivité;communauté de communes Bretagne Romantique;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;-;;Espace labellisé
214;35;Communauté de communes de Saint-Méen-Montauban;22 rue de Gaël;;35297;35290;ST MEEN LE GRAND;48.18427;-2.19591;msap@stmeen-montauban.fr;02 99 09 44 56;Collectivité;communauté de communes St-Méen-Montauban;8:30 - 12:30;8:30 - 12:30 / 13:30 - 17:00;8:30 - 18:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 19:00;-;;Espace labellisé
216;35;La Poste Sens de Bretagne;Place de la gare;;35326;35490;SENS DE BRETAGNE;48.3345;-1.53772;msap.sens-de-bretagne@laposte.fr;02 99 39 51 39;La Poste;La Poste;-;9:00 - 12:00 / 14:30 - 17:30;9:00 - 12:00 / 14:30 - 17:30;9:00 - 12:00 / 14:30 - 17:30;9:00 - 12:00 / 14:30 - 17:30;9:00 - 12:00;;Espace labellisé
217;35;Point Accueil Emploi de Pipriac;36 rue de l’avenir;;35219;35550;PIPRIAC;47.89531;-1.93496;pae.pipriac@wanadoo.fr;;Association;iloz Maison de services et de l’emploi du Pays de Pipriac;9:00 - 12:00 / 14:00 - 17:00;9:00 - 18:30;9:00 - 12:00 ;9:00 - 12:00 ;9:00 - 12:00 ;-;;Espace labellisé
218;35;Pleine-Fougères;Rue de Normandie;;35222;35610;PLEINE FOUGERES;48.53367;-1.56361;msap.pleine-fougeres@laposte.fr;02 99 48 75 03;La Poste;La Poste;14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00;;Espace labellisé
219;35;Mesnil Roc'h;54 rue de la Libération;;35308;35720;MESNIL ROCH;;;msap.saint-pierre-de-plesguen@laposte.fr;02.99.21.91.29;La Poste;La Poste;14:15 - 16:45;9:15 - 12:00 / 14:15 - 16:45;9:15 - 12:00 ;9:15 - 12:00 / 14:15 - 16:45;9:15 - 12:00 / 14:15 - 16:45;9:00 - 12:00;;Espace labellisé
220;36;Aigurande;8 Rue Jean Marien Messant;;36001;36140;AIGURANDE;46.4319;1.824752;contact@ccmarcheberrichonne.fr;;Collectivité;Communauté de communes Marche Berrichonne;14:00 - 18:00;8:15 - 12:15 / 14:00 - 18:00;8:15 - 12:15 / 14:00 - 18:00;8:15 - 12:15 / 14:00 - 18:00;8:15 - 12:15 / 14:00 - 18:00;8:15 - 12:15;;Espace labellisé
221;36;Vatan;Avenue de la Sentinelle;;36230;36150;VATAN;47.07872;1.813529;msap@vatan.fr;02 54 49 23 22;Collectivité;Commune de Vatan;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00;9:00 - 12:00;9:00 - 12:00;9:00 - 12:00 / 13:30 - 18:00;-;;Espace labellisé
222;36;Brenne Box;1 Place Jean Moulin;;36123;36290;MEZIERES-EN-BRENNE;46.81946;1.28957;france-services@coeurdebrenne.fr;02 54 38 59 46;Collectivité;Cdc Brenne Box;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;14:00 - 17:00;-;;Espace labellisé
224;36;Chaillac;5 Rue de la Poste;;36035;36310;CHAILLAC;46.43476;1.298115;;;La Poste;La Poste;9:00-12:00 / 13:30 - 16:30;9:00-12:00 / 13:30 - 16:30;9:00-12:00;9:00-12:00 / 13:30 - 16:30;9:00-12:00 / 13:30 - 16:30;9:00-12:00;;Espace labellisé
225;36;Valençay;11 Route de Faverolles;;36228;36600;VALENCAY;47.15246;1.551819;franceservicesvalencay.blf@berry-touraine.msa.fr;02 54 00 07 68;Opérateur;Cdc Ecueillé-Valencay + MSA;-;8:30 - 12:00 / 13:00 - 17:00;10:00 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:00 - 17:00;8:30 - 12:00 / 13:00 - 16:00;10:00 - 12:00 / 14:00 - 16:00;;Espace labellisé
226;37;Chateau Renault;5 rue du Four Brûlé;;37063;37110;CHATEAU RENAULT;47.58985;0.908013;msap@cc-castelrenaudais.fr;02 47 29 57 40;Collectivité;Communauté de Communes du Castelrenaudais;9:00 - 12:00 / 13:30 - 17:00;Sur RDV : 9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:00;-;;Espace labellisé
227;37;Richelieu;3 Place Louis XIII;;37196;37120;RICHELIEU;;;fs.richelieu@cc-tvv.fr;02 47 58 20 70;Collectivité;Communauté de communes Touraine Val de Vienne;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30;14:00 - 17:00;9:00 - 12:00;-;;Espace labellisé
228;37;Descartes;5, rue du vieux Marché;La Maison de la Tour;37115;37160;DESCARTES;46.97444;0.699078;efs@lochessudtouraine.com;02 47 59 83 29;Collectivité;CC Loches Sud Touraine;Sur RDV : 9:00 - 12:30 / Sans RDV : 14:00 - 16:30;Sur RDV;9:00 - 12:30 / Sur RDV : 14:00 - 16:30;9:00 - 12:30 / 14:00 - 16:30;9:00 - 12:30 / Sur RDV : 14:00 - 16:30;-;;Espace labellisé
229;37;Montlouis-sur-Loire;1bis, rue de Boisdenier;;37156;37270;MONTLOUIS SUR LOIRE;47.38693;0.823896;msap@ville-montlouis-loire.fr;02 47 45 85 30;Collectivité;Ville de Montlouis-sur Loire;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
231;37;Association RESOUDRE;4, rue Lavoisier;Accès rue Ampère;37122;37300;JOUE LES TOURS;47.34694;0.660672;contact@resoudre37.fr;02 47 73 91 43;Association;Association Résoudre;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;-;;Espace labellisé
233;37;Sainte-Maure de Touraine;77 ave du Général de Gaulle;Les Passerelles;37226;37800;STE MAURE DE TOURAINE;47.11289;0.616991;msap@relaisemploismt.fr;;Association;Association Relais Emploi;9:00 - 12:00 / Sur RDV : 14:00 - 17:00;9:00 - 12:00 / Sur RDV : 14:00 - 17:00;9:00 - 12:00 / Sur RDV : 14:00 - 17:00;9:00 - 12:00 / Sur RDV : 14:00 - 17:00;9:00 - 12:00 / Sur RDV : 14:00 - 17:00;-;;Espace labellisé
234;38;PIMMS de Grenoble;97 Galerie de l'Arlequin;;38185;38100;GRENOBLE;45.16408;5.732875;grenoble@pimms.org;04 76 33 06 56;PIMMS;Union Nationale des PIMMS;13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00;10:00 - 12:30;;Espace labellisé
235;38;St Marcellin;2 bd du Riondel et 2 av du Collège;;38416;38160;ST MARCELLIN;45.15436;5.319521;;03 74 22 00 65;Opérateur;MSA et Mairie de St Marcellin;8:30 - 12:00 / 13:30 - 16:30;8:30 - 12:00 / 13:30 - 16:30;8:30 - 12:00 / 13:30 - 16:30;8:30 - 12:00;8:30 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
236;38;Pont de Beauvoisin;82 chemin des Pâquerettes;;38315;38480;LE PONT DE BEAUVOISIN;45.53647;5.646368;franceservices@valsdudauphine.fr;04 76 32 71 99;Collectivité;CC Vals du Dauphiné;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12 :30 / 13:30 - 18:30;9:00 - 12:30;-;;Espace labellisé
237;38;Morestel;84 Place du 8 Mai 1945;;38261;38510;MORESTEL;45.67398;5.471211;christine.nemoz@balconsdudauphine.fr;04 74 80 39 33;Collectivité;CC Balcons du Dauphiné;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
238;38;Bourg d’Oisans;Avenue Aristide Briand;;38052;38520;LE BOURG D OISANS;45.05472;6.03289;msap@ccoisans.fr;04 76 80 02 66;Collectivité;CC Oisans;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:00 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;-;;Espace labellisé
239;38;Monestier de Clermont;Grand Rue;;38242;38650;MONESTIER DE CLERMONT;44.9264;5.63831;;;La Poste;La Poste;-;8:30 - 12:00 / 13:30 - 16:00;8:30 - 12:00 / 14:00 - 16:00;8:30 - 12:00 / 13:30 - 16:00;8:30 - 12:00 / 13:30 - 16:00;8:30 - 12:00;;Espace labellisé
240;38;PIMMS Pont de Claix;12 Avenue Charles de Gaulle;;38317;38800;LE PONT DE CLAIX;45.13649;5.79063;pont-de-claix@pimms.org;04 38 92 10 33;PIMMS;Union Nationale des PIMMS;13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00;-;;Espace labellisé
241;39;Salins;La Tour - ZA les Mélincols;;39500;39110;SALINS LES BAINS;46.94935;5.861427;msap.ps@agate-paysages.fr;03 84 73 84 30;;;9:00 - 12:00;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00;-;;Espace labellisé
243;39;Ounans;11 route de Salins;;39399;39380;OUNANS;46.99491;5.668356;msap.valdamour@agate-paysages.fr;03 84 37 77 40;;;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30;-;;Espace labellisé
244;39;Arbois;10 rue de l'hôtel de ville;;39013;39600;ARBOIS;46.90267;5.772358;msap.arbois@agate-paysages.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
246;40;Pays d'Orthe et Arrigans;156 route de Mahoumic;;40224;40300;PEYREHORADE;43.55478;-1.12258;france.services@orthe-arrigans.fr;05 58 73 60 03;;;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
247;40;Geaune;2 rue de la Poste;;40110;40320;GEAUNE;43.6404;-0.37979;;;La Poste;La Poste;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
248;40;Rion-des-Landes;144 avenue Frédéric Bastiat;;40243;40370;RION DES LANDES;43.93324;-0.92274;;;La Poste;La Poste;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
249;40;Aire-sur-l’Adour;4 rue René Méricam ;;40001;04800;AIRE SUR L ADOUR;43.70046;-0.2611;msap@ciasairesuradour.fr;05 58 71 61 65;;;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
