MATRICULE;DEPARTEMENT;FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE
179;30;Cèze Cévennes;120 Route d'Uzès Prolongée;;30227;30500;ST AMBROIX;44,248141;4,198303;relaisemploi@ceze-cevennes.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
180;30;PIMMS de Nimes;4 bis Rue Daumier;;30189;03900;NIMES;43,82993;4,332689;nimes@pimms.org;04 66 62 02 57;PIMMS;Union Nationale des PIMMS;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
181;31;Auterive - CC Bassin Auterivain;Rd 820 ZI Robert Lavigne;;31033;31190;AUTERIVE;43,368673;1,445539;guichetunique@ccba31.fr;;Collectivité;Communauté de communes;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
182;31;Val Aïgo - Villemur-sur-Tarn;2 avenue Saint Exupéry;;31584;31340;VILLEMUR SUR TARN;43,8682;1,500555;cias@valaigo.fr;;Collectivité;Communauté de communes Val'Aïgo;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / Sur RDV : après-midi;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 16:30;-;
183;31;Rieumes - CC Cœur de Garonne;2 Place du marché à la volaille;;31454;31370;RIEUMES;;;msap@cc-coeurdegaronne.fr;;Collectivité;Communauté de Communes Cœur de Garonne;8:30 - 12:30 / 14:00 - 18:00;14:00 - 18:00;8:30 - 12:30;8:30 - 12:30;8:30 - 12:30;-;
184;31;Nailloux - CC Terres du Lauragais;1 rue de la république;;31396;31560;NAILLOUX;43,356713;1,623405;;;Collectivité;Communauté de communes;13:30 - 17:00;13:30 - 17:00;9:15 - 12:30 / 13:30 - 17:00;13:30 - 17:00;9:15 - 12:30 / 13:30 - 17:00;-;
186;32;Val de Gers;16 Avenue Elysée Duffréchou;Ancien couvent;32242;32140;MASSEUBE;43,427777;0,578462;;;Collectivité;Communauté de Communes Val de Gers;-;10:00 - 13:00;10:00 - 13:00 / 14:00 - 18:00;10:00 - 13:00;10:00 - 13:00 / 14:00 - 18:00;9:00 - 13:00;
187;32;Plaisance du Gers;38 rue de l’Adour;;32319;32160;PLAISANCE DU GERS;43,605419;0,045201;;;La Poste;La Poste;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 ;
188;32;Artagnan en Fezensac;18 Rue des Cordeliers;;32462;32190;VIC FEZENSAC;43,757189;0,301926;ccommunes.dartagnan.fezensac@wanadoo.fr;;Collectivité;Communauté de Communes Artagnan en Fezensac;9:30 - 16:30;9:30 - 16:30;9:30 - 16:30;9:30 - 16:30;9:30 - 16:30;-;
191;32;Fleurance;62 Rue Adolphe Cadéot;;32132;32500;FLEURANCE;43,850282;0,661762;ccas.compta@villefleurance.fr;;Collectivité;"Commune de Fleurance
Gestion : CCAS de Fleurance";8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 16:30;-;
192;32;Lectoure;2 Cours Gambetta;;03228;32700;LECTOURE;43,933522;0,626401;ccas.direction@mairie-lectoure.fr;;Collectivité;"Commune de Lectoure
Gestion : CCAS de Lectoure";8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
193;33;Sainte Foy la Grande;12 boulevard Charles Garrau;;33402;33220;STE FOY LA GRANDE;44,839036;0,219476;msap-stefoy@paysfoyen.fr;5 55 74 86 90;Collectivité;;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;
194;33;Blaye;32 rue des Maçons - BP 154;;33058;33390;BLAYE;;;accueil.franceservices@ccb-blaye.com;05 57 42 82 72 ;Collectivité;Coportage Communauté de Communes de Blaye (CCB) et Mutualité Sociale Agricole de Gironde (MSA);8:30 - 17:00;8:30 - 17:00;8:30 - 17:00;8:30 - 17:00;8:30 - 17:00;-;
195;33;Rauzan;11 grand rue;;33350;33420;RAUZAN;44,779665;-0,124905;;;La Poste;La Poste;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
196;33;Cussac Fort Médoc;34, avenue du haut médoc;;33146;33460;CUSSAC FORT MEDOC;45,114496;-0,7388;msap-cussacfortmedoc@orange.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
197;33;Ste Eulalie;1 pl Charles de Gaulle;;33397;33560;STE EULALIE;44,98396;-0,473335;accueil@mairie-ste-eulalie.fr;5 56 06 05 59;;;9:00 - 12:00 / 14:00 - 19:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 13:30 - 16:30;-;
198;33;Pessac;Rue de l'Horloge;;33318;33600;PESSAC;44,791606;-0,628367;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
199;33;Lacanau;3 Rue de l'Aiguillonne;;33214;33680;LACANAU;44,978789;-1,073617;pole.aiguillonne@lacanau.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
200;33;Captieux;Place du 8 mai 1945;;03395;33840;CAPTIEUX;44,291757;-0,261174;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
201;34;Itinérante MSA du Languedoc;581 avenue Georges Méliès;Itinerante;34172;34000;MONTPELLIER;43,605859;3,920475;;;Opérateur;MSA;9:45 - 12:15 / 13:30 - 16:00;9:45 - 12:15 / 13:30 - 16:00;9:45 - 12:15 / 13:30 - 16:00;9:45 - 12:15 / 13:30 - 16:00;9:45 - 12:15 / 13:30 - 16:00;-;Oui
203;34;Hérault Méditerranée;Avenue des sergents;;34003;34300;AGDE;43,28883;3,514681;;;Collectivité ;Agglomération Hérault Méditerranée;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;Oui
205;34;Capestang;6 place Ferrer;;34052;34310;CAPESTANG;43,32748;3,04669;msap@cc-sud-herault.fr;;Collectivité ;CC sud Hérault;8:30 - 12:00 / 13:00 - 17:30;8:30 - 12:00 / 13:30 - 17:30;13:00 - 17:30;8:30 - 12:00 / 13:00 - 17:30;8:30 - 12:00 / 13:00 - 17:30;-;Oui
207;34;Sérignan ;146 avenue de la plage;Pôle social;34299;34410;SERIGNAN;43,280237;3,280593;ccas@ville-serignan.fr;;Collectivité;Mairie de Sérignan;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 17:00;-;
208;34;Les Avant-Monts;27 bis avenue de la république;;34178;34490;MURVIEL LES BEZIERS;43,433641;3,148763;msap@avant-monts.fr; 46 70 83 60;Collectivité;CC les avants monts;9:00 - 16:30;9:00 - 11:30 / 14:30 - 16:30;9:00 - 11:30 / 14:30 - 16:30;9:00 - 11:30 / 14:30 - 18:30;9:00 - 11:30;-;
211;34;Lodevois et Larzac;1 Place Capitaine Francis Morand;;34142;34700;LODEVE;43,732037;3,316843;;;Collectivité;CC du lodévois et larzac;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;-;-;
212;35;PIMMS Rennes;2 rue du Sous-Lieutenant Yves-Berger;;35238;35000;RENNES;48,88114;-1,673817;rennes@pimms.org;2 99 32 02 58;PIMMS;Union Nationale des PIMMS;9:00 - 12:30 / 14:00 - 17:15;14:00 - 17:15;9:00 - 12:30 / 14:00 - 17:15;14:00 - 17:15;9:00 - 12:30 / 14:00 - 17:15;-;
213;35;Communauté de communes Bretagne Romantique;3 rue de la mairie;;03585;35270;COMBOURG;48,49673;-1,752491;maison-des-services@bretagneromantique.fr;;Collectivité;communauté de communes Bretagne Romantique;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;-;
214;35;Communauté de communes de Saint-Méen-Montauban;22 rue de Gaël;;35297;35290;ST MEEN LE GRAND;48,184266;-2,195907;;;Collectivité;communauté de communes St-Méen-Montauban;8:30 - 12:30;8:30 - 12:30 / 13:30 - 17:00;8:30 - 18:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;1er samedi du mois : 10:00 - 13:00;
216;35;La Poste Sens de Bretagne;Place de la gare;;35326;35490;SENS DE BRETAGNE;48,334503;-1,537716;;;La Poste;La Poste;-;9:00 - 12:00 / 14:30 - 17:30;9:00 - 12:00 / 14:30 - 17:30;9:00 - 12:00 / 14:30 - 17:30;9:00 - 12:00 / 14:30 - 17:30;9:00 - 12:00;
217;35;Point Accueil Emploi de Pipriac;36 rue de l’avenir;;35219;35550;PIPRIAC;47,89531;-1,934962;pae.pipriac@wanadoo.fr;;Association;iloz Maison de services et de l’emploi du Pays de Pipriac;9:00 - 12:00 / 14:00 - 17:00;9:00 - 18:30;9:00 - 12:00 ;9:00 - 12:00 ;9:00 - 12:00 ;-;
218;35;Pleine-Fougères;Rue de Normandie;;35222;35610;PLEINE FOUGERES;48,53367;-1,563607;msap.pleine-fougeres@laposte.fr;;La Poste;La Poste;14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00;
219;35;Mesnil Roc'h;54 place de la Libération;;03538;35720;MESNIL ROCH;;;msap.saint-pierre-de-plesguen@laposte.fr;02.99.21.91.29;La Poste;La Poste;9:15 - 12:00;9:15 - 12:00 / 14:15 - 16:45;9:15 - 12:00 ;9:15 - 12:00 / 14:15 - 16:45;9:15 - 12:00 / 14:15 - 16:45;9:00 - 12:00;
220;36;Aigurande;8 Rue Jean Marien Messant;;36001;36140;AIGURANDE;46,431904;1,824752;contact@ccmarcheberrichonne.fr;;Collectivité;Communauté de communes Marche Berrichonne;14:00 - 18:00;8:15 - 12:15 / 14:00 - 18:00;8:15 - 12:15 / 14:00 - 18:00;8:15 - 12:15 / 14:00 - 18:00;8:15 - 12:15 / 14:00 - 18:00;8:15 - 12:15;
221;36;Vatan;Avenue de la Sentinelle;;36230;36150;VATAN;47,07872;1,813529;msap@vatan.fr;;Collectivité;Commune de Vatan;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00;9:00 - 12:00;9:00 - 12:00;9:00 - 12:00 / 13:30 - 18:00;-;
222;36;Brenne Box;1 Place Jean Moulin;;36123;36290;MEZIERES-EN-BRENNE;46,819459;1,28957;direction@coeurdebrenne.fr;;Collectivité;Cdc Brenne Box;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;14:00 - 17:00;-;
224;36;Chaillac;5 Rue de la Poste;;36035;36310;CHAILLAC;46,434758;1,298115;;;La Poste;La Poste;8:45 - 12:15 / 13:30 - 16:15;8:45 - 12:15 / 13:30 - 16:15;13:30 - 16:15;8:45 - 12:15 / 13:30 - 16:15;8:45 - 12:15 / 13:30 - 16:15;8:45 - 12:00;
225;36;Valençay;11 Route de Faverolles;;36228;36600;VALENCAY;47,152463;1,551819;dgs@ccev.fr;;Opérateur;Cdc Ecueillé-Valencay + MSA;-;8:30 - 12:00 / 13:00 - 17:00;10:00 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:00 - 17:00;8:30 - 12:00 / 13:00 - 16:00;10:00 - 12:00 / 14:00 - 16:00;
226;37;Chateau Renault;5 rue du Four Brûlé;;37063;37110;CHATEAU RENAULT;;;msap@cc-castelrenaudais.fr;2 47 29 57 40;Collectivité;Communauté de Communes du Castelrenaudais;9:00 - 12:00 / 13:30 - 17:00;Sur RDV : 9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:00;-;
227;37;Richelieu;3 Place Louis XI;;37196;37120;RICHELIEU;;;environnement@cc-tvv.fr;2 47 25 26 00;Collectivité;Communauté de communes Touraine Val de Vienne;8:30 - 12:20 / 14:00 - 17:00;8:30 - 12:20 / 14:00 - 17:00;8:30 - 12:30;14:00 - 17:00;9:00 - 12:00;-;Oui
228;37;Descartes;5, rue du vieux Marché;La Maison de la Tour;37115;37160;DESCARTES;46,974437;0,699078;efs@lochessudtouraine.com;;Collectivité;CC Loches Sud Touraine;Sur RDV : 9:00 - 12:30 / Sans RDV : 14:00 - 16:30;Sur RDV;9:00 - 12:30 / Sur RDV : 14:00 - 16:30;9:00 - 12:30 / 14:00 - 16:30;9:00 - 12:30 / Sur RDV : 14:00 - 16:30;-;
229;37;Montlouis-sur-Loire;1bis, rue de Boisdenier;;37156;37270;MONTLOUIS SUR LOIRE;47,386925;0,823896;msap@ville-montlouis-loire.fr;;Collectivité;Ville de Montlouis-sur Loire;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;-;
231;37;Association RESOUDRE;4, rue Lavoisier;;37122;37300;JOUE LES TOURS;47,346935;0,660672;contact@resoudre37.fr;;Association;Association Résoudre;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;-;
233;37;Sainte-Maure de Touraine;77 ave du Général de Gaulle;Les Passerelles;37226;37800;STE MAURE DE TOURAINE;47,11289;0,616991;msap@relaisemploismt.fr;;Association;Association Relais Emploi;9:00 - 12:00 / Sur RDV : 14:00 - 17:00;9:00 - 12:00 / Sur RDV : 14:00 - 17:00;9:00 - 12:00 / Sur RDV : 14:00 - 17:00;9:00 - 12:00 / Sur RDV : 14:00 - 17:00;9:00 - 12:00 / Sur RDV : 14:00 - 17:00;-;
234;38;PIMMS de Grenoble;97 Galerie de l'Arlequin;;38185;38100;GRENOBLE;45,164079;5,732875;grenoble@pimms.org;4 76 33 06 56;PIMMS;Union Nationale des PIMMS;13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00;10:00 - 12:30;
235;38;St Marcellin;2 bd du Riondel et 2 av du Collège;;38416;38160;ST MARCELLIN;45,154361;5,319521;;;Opérateur;MSA et Mairie de St Marcellin;8:30 - 12:00 / 13:30 - 16:30;8:30 - 12:00 / 13:30 - 16:30;8:30 - 12:00 / 13:30 - 16:30;8:30 - 12:00;8:30 - 12:00 / 13:30 - 16:30;-;
236;38;Pont de Beauvoisin;82 chemin des Pâquerettes;;38315;38480;LE PONT DE BEAUVOISIN;45,536474;5,646368;;;Collectivité;CC Vals du Dauphiné;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12 :30 / 13:30 - 18:30;9:00 - 12:30;-;
237;38;Morestel;84 Place du 8 Mai 1945;;38261;38510;MORESTEL;45,673981;5,471211;;;Collectivité;CC Balcons du Dauphiné;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
238;38;Bourg d’Oisans;Avenue Aristide Briand;;38052;38520;LE BOURG D OISANS;45,054724;6,03289;msap@ccoisans.fr;4 76 80 02 66;Collectivité;CC Oisans;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:00 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;-;
239;38;Monestier de Clermont;Grand Rue;;38242;38650;MONESTIER DE CLERMONT;44,926398;5,63831;;;La Poste;La Poste;-;8:30 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;8:30 - 12:00 / 13:30 - 16:00;8:30 - 12:00 / 13:30 - 16:00;8:30 - 12:00;
240;38;PIMMS Pont de Claix;12 Avenue Charles de Gaulle;;38317;38800;LE PONT DE CLAIX;45,13649;5,79063;pont-de-claix@pimms.org;4 38 92 10 33;PIMMS;Union Nationale des PIMMS;13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00;-;
241;39;Salins;La Tour - ZA les Mélincols;;39500;39110;SALINS LES BAINS;46,949348;5,861427;msap.ps@agate-paysages.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
243;39;Ounans;11 route de Salins;;39399;39380;OUNANS;46,99491;5,668356;msap.valdamour@agate-paysages.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
244;39;Arbois;10 rue de l'hôtel de ville;;39013;39600;ARBOIS;46,902668;5,772358;msap.arbois@agate-paysages.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
246;40;Pays d'Orthe et Arrigans;156 route de Mahoumic;;40224;40300;PEYREHORADE;43,55478;-1,122575;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
247;40;Geaune;2 rue de la Poste;;40110;40320;GEAUNE;43,640403;-0,379791;;;La Poste;La Poste;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
248;40;Rion-des-Landes;144 avenue Frédéric Bastiat;;40243;40370;RION DES LANDES;43,933235;-0,922735;;;La Poste;La Poste;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
249;40;Aire-sur-l’Adour;4 rue René Méricam ;;40001;04800;AIRE SUR L ADOUR;43,700463;-0,2611;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
250;41;PIMMS de Blois;11 Place Rene Coty ;;41018;41000;BLOIS;47,593693;1,318363;blois@pimms.org;2 54 45 34 54;PIMMS;Union Nationale des PIMMS;13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:30;9:00 - 12:00 / 13:30 - 17:00;-;
251;41;Mondoubleau;3 Allée de la Gare;;41143;41170;MONDOUBLEAU;47,98497;0,892329;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
252;41;Salbris;50 Boulevard de la République;;41232;41300;SALBRIS;47,424674;2,053334;msap@salbris.fr;2 54 94 10 55;Collectivité;Mairie;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
253;41;Mer;9 Route Nationale;;41136;41500;MER;47,699867;1,58583;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
255;43;Craponne-sur-Arzon;Place de la Gare;;04380;43500;CRAPONNE SUR ARZON;45,333886;3,851406;msap.craponne@lepuyenvelay.fr;;Collectivité;Communauté d’agglomération du Puy-en-Velay;9:00 - 12:00 // Sur RDV : 8:30 - 9:00 / 12:00 - 17:30;9:00 - 16:30 // Sur RDV : 8:30 - 9:00 / 16:30 - 17:30;9:00 - 12:00 / 14:00 - 16:30 // Sur RDV : 8:30 - 9:00 / 12:00 - 14:00 / 16:30 - 17:30;9:00 - 12:00 / 14:00 - 16:30 // Sur RDV : 8:30 - 9:00 / 12:00 - 14:00 / 16:30 - 17:30;9:00 - 12:00 // Sur RDV : 8:30 - 9:00 / 12:00 - 17:30;-;
256;43;Vorey-sur-Arzon;Place de la Mairie;;43267;43800;VOREY SUR ARZON;45,186457;3,99146;;;La Poste;La Poste;9:00 - 12:00 / 14:00 - 16:45;9:00 - 11:30 / 14:45 - 16:45;9:00 - 12:00 / 14:00 - 16:45;9:00 - 12:00 / 14:00 - 16:45;9:00 - 12:00 / 14:00 - 16:45;9:00 - 12:00;
257;44;Riaillé;182 rue du Cèdre;;44144;44440;RIAILLE;47,517779;-1,294659;accueil@maison-services-riaille.com; 24 97 35 23;Collectivité;SIVOM;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;-;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30;-;
258;44;Derval;14 rue de la Garlais;;44051;44590;DERVAL;47,668489;-1,670259;msap@cc-chateaubriant-derval.fr; 24 81 82 26;Collectivité;;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;
259;45;Maison du département de l’ouest Orléanais;44 Rue de Chateaudun;;45203;45130;MEUNG SUR LOIRE;47,83971;1,681991;mdd.ouest.orleanais@loiret.fr;;Collectivité;Conseil départemental;8:30 - 12:00 / Sur RDV : 13:30 - 16:30;8:30 - 12:00 / Sur RDV : 13:30 - 16:30;8:30 - 12:00 / Sur RDV : 13:30 - 16:30;8:30 - 12:00 / Sur RDV : 13:30 - 16:30;8:30 - 12:00 / Sur RDV : 13:30 - 16:30;-;
260;45;PIMMS du Plateau;26 Rue de la Pontonnerie;;04528;45200;MONTARGIS;48,000424;2,726123;plateau.agglo-montargoise@pimms.org;2 38 07 30 72;PIMMS;Union Nationale des PIMMS;9:00 - 12:30 / 13:00 - 17:30;9:00 - 12:30 / 13:00 - 17:30;9:00 - 12:30 / 13:00 - 17:30;9:00 - 12:30 / 13:00 - 17:30;9:00 - 12:30 / 13:00 - 17:30;-;
261;45;Beaunois;3 bis Rue des Déportés;;45030;45340;BEAUNE LA ROLANDE;48,071606;2,435226;accueil.beaunois@pithiveraisgatinais.fr;;Collectivité;CC du pithiverais Gâtinais;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:00 - 17:30;9:00 - 12:30 / 13:00 - 17:30;9:00 - 12:30 / 13:00 - 17:30;9:00 - 12:30 / 13:30 - 16:30;-;
262;46;Communauté d'agglomération Grand Cahors;72 rue du Président Wilson ;Hôtel Wilson;46042;46000;CAHORS;44,446218;1,439927;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
263;46;Association Ségala Limargue;81 Rue Principale ;Pôle Multiculturel Communautaire ;46170;46120;LEYME;44,78526;1,900465;association.segala.limargue@wanadoo.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
265;46;Cajarc;40 Boulevard du Tour de Ville ;;46045;46160;CAJARC;44,48475;1,843145;accueil@cajarc.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
266;46;Communauté de communes du Causse de Labastide-Murat;8 Grande Rue du Causse ;;46138;46240;LABASTIDE MURAT;44,647463;1,567651;msap@cc-labastide-murat.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
268;47;Duras;14, boulevard Jean Brisseau;;04786;47120;DURAS;44,677266;0,182852;;;Collectivité;Communauté de communes du Pays de Duras;9:00 - 12:30 / 13:30 - 18:00;9:00 - 12:30 / 13:30 - 18:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 13:30 - 18:00;9:00 - 12:30 / 14:00 - 17:00;-;
269;47;Laplume ;Place du Foirail;Bureau de Poste;47137;47310;LAPLUME;44,112746;0,530547;;;La Poste;La Poste;9:00 - 11:30 / 14:00 - 16:45;9:00 - 11:30 / 14:00 - 16:45;9:00 - 11:30 / 14:00 - 16:45;9:00 - 11:30 / 14:00 - 16:45;9:00 - 11:30 / 14:00 - 16:45;9:30 - 12:00;
270;47;Nérac;10 place Aristide Briand ;Centre Haussmann;47195;47600;NERAC;44,137012;0,338267;msap@albretcommunaute.fr;;Collectivité;Communauté de communes Albret Communauté ;9:00 - 12:00 / 14:00 - 17:00 ;9:00 - 12:00 / 14:00 - 17:00 ;9:00 - 12:00 / 14:00 - 17:00 ;9:00 - 12:00;9:00 - 12:00;-;Oui
271;48;Marvejols;6 Rue Victor Cordesse ;;04892;48100;MARVEJOLS;44,553288;3,2918;msap@cc-gevaudan.fr;;Collectivité;CC du Gévaudan;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;-;
272;48;Saint-Chély d’Apcher;Rue de l'ancien hôpital;;48140;48200;ST CHELY D APCHER;44,796326;3,27632;msap@stchelydapcher.fr;4 66 32 71 41;Collectivité;Communauté de communes des Terres d’APcher - Margeride-Aubrac;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:00;-;
273;48;Pont de Montvert Sud Mont-Lozère;7 Pont de Montvert;Bâtiment de la mairie ;48116;48220;LE PONT DE MONVERT SUD MT LOZERE;44,363621;3,744489;msap@cevennes-mont-lozere.fr;;Collectivité;CC des Cévennes au Mont Lozère;9:30 - 12:00 / Sur RDV : après-midi;9:30 - 12:00 / Sur RDV : après-midi;9:30 - 12:00 ;9:30 - 12:00 / 14:00 - 20:00;9:30 - 12:00 ;-;
